Unnamed: 0.1,Unnamed: 0,fire_name,fire_size,fire_size_class,stat_cause_descr,latitude,longitude,state,disc_clean_date,cont_clean_date,discovery_month,disc_date_final,cont_date_final,putout_time,disc_date_pre,disc_pre_year,disc_pre_month,wstation_usaf,dstation_m,wstation_wban,wstation_byear,wstation_eyear,Vegetation,fire_mag,weather_file,Temp_pre_30,Temp_pre_15,Temp_pre_7,Temp_cont,Wind_pre_30,Wind_pre_15,Wind_pre_7,Wind_cont,Hum_pre_30,Hum_pre_15,Hum_pre_7,Hum_cont,Prec_pre_30,Prec_pre_15,Prec_pre_7,Prec_cont,remoteness
51,51,,2.0,B,Debris Burning,47.21028723,-93.47281993,MN,5/2/2009,,May,,,,4/2/2009,2009,Apr,727458,2817.748961,94919,1973,2020,15,0.1,727458-94919-2009.gz,4.751851852,6.52962963,5.023809524,10.567718,3.919036591,4.261538462,3.709722222,4.295313225,54.65678555,60.53846154,64.08333333,55.83758701,11.6,11.1,11.1,30.6,0.2332417308503147
52,52,,1.0,B,Missing/Undefined,36.28459942,-94.85479719,OK,4/2/1994,4/2/1994,Apr,4/2/1994 15:30,4/2/1994 16:25,0 days 00:00:00.000000000,3/3/1994,1994,Mar,722199,41682.03011,53956,1981,2005,0,0.1,File Not Found,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2503624205464461
53,53,,10.0,C,Debris Burning,29.60577,-99.7186,TX,2/21/2008,,Feb,,,,1/22/2008,2008,Jan,722202,43199.88879,99999,1945,2020,12,1.0,722202-12985-2008.gz,13.34330484,14.2924257,14.00616016,16.46994275,3.17668566,3.387248322,3.5868583160000003,3.921708015,55.50054945,52.65123457,61.73766816,51.79565647,0.0,0.0,0.0,0.0,0.3008499816399805
54,54,AGERT,3.2,B,Equipment Use,43.85158,-108.19147,WY,7/30/2010,7/30/2010,Jul,7/30/2010 17:00,7/30/2010 19:50,0 days 00:00:00.000000000,6/30/2010,2010,Jun,726665,23253.00809,99999,2006,2020,9,0.1,726665-24062-2010.gz,22.72938005,23.7672043,24.40402299,0.0,3.148513514,2.737837838,2.821511628,0.0,37.25675676,37.38648649,37.62209302,0.0,3.1,2.8,2.8,0.0,0.3746517113312526
55,55,,1.0,B,Arson,32.38856,-94.68856,TX,10/16/1999,,Oct,,,,9/16/1999,1999,Sep,722470,2240.623764,3901,1973,2020,12,0.1,722470-03901-1999.gz,21.44210526,21.03448276,22.19393939,15.50313676,2.482307692,2.15508982,1.855063291,2.505447471,63.90877797,66.1557971,70.60740741,66.53044872,65.6,51.9,38.4,33.9,0.2513304473392301
56,56,LED BETTER BARN,15.3,C,Equipment Use,36.5865,-96.32322,OK,12/5/2015,12/6/2015,Dec,12/5/2015 15:10,12/6/2015 13:00,1 days 00:00:00.000000000,11/5/2015,2015,Nov,723565,33339.18055,3959,2006,2020,0,1.0,723565-03959-2015.gz,8.523263157999999,5.933657587999999,2.911842105,5.258333333,3.278095238,3.311328125,2.128193833,3.558333333,76.61521739,80.17729084,85.36936937,71.5,150.8,104.8,17.0,0.0,0.2639427624719013
57,57,CALDERWOOD,270.0,D,Arson,35.47333333,-84.45,TN,10/31/1999,11/1/1999,Oct,10/31/1999 9:00,11/1/1999 4:00,1 days 00:00:00.000000000,10/1/1999,1999,Oct,723260,56817.93218,13891,1973,2020,15,3.0,723260-13891-1999.gz,14.40471888,11.63909465,10.72222222,16.43103448,1.976602238,1.750730689,0.799509804,0.982758621,73.77567887,70.18932039,68.28723404,67.05,145.8,14.4,0.0,0.0,0.1555431553430117
58,58,,1.55,B,Miscellaneous,42.40379312,-73.41862982,NY,4/19/2004,4/19/2004,Apr,4/19/2004 15:10,4/19/2004 15:10,0 days 00:00:00.000000000,3/20/2004,2004,Mar,744104,10288.82582,99999,1973,2020,9,0.1,744104-99999-2004.gz,4.042663892,5.108352144,8.138095238,0.0,3.307596254,3.513318284,2.75952381,0.0,67.85661765,62.41836735,62.59509202,0.0,87.5,33.3,31.2,0.0,0.0552534008712164
59,59,DEVIL'S,57.0,C,Arson,36.81666667,-82.65166667,VA,4/6/1995,4/8/1995,Apr,4/6/1995 17:00,4/8/1995 18:00,2 days 00:00:00.000000000,3/7/1995,1995,Mar,724117,21888.57878,63802,1994,2005,0,1.0,724117-99999-1995.gz,8.864242424,8.231321839,6.332934132,13.00208333,3.135151515,3.3071839080000003,3.089221557,1.95,52.83489097,53.92330383,53.1257485,37.85416667,0.0,0.0,0.0,0.0,0.1386698681295559
60,60,,10.0,C,Missing/Undefined,34.225,-80.075,SC,3/3/1996,3/3/1996,Mar,,,0 days 00:00:00.000000000,2/2/1996,1996,Feb,723116,31692.785710000004,3742,1973,2020,16,1.0,File Not Found,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1173834548758918
61,61,,2.0,B,Arson,30.88881532,-89.40650759999998,MS,5/6/1996,5/6/1996,May,5/6/1996 20:10,5/6/1996 22:08,0 days 00:00:00.000000000,4/6/1996,1996,Apr,722138,58000.13967,99999,1973,2010,12,0.1,File Not Found,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2036208805402553
62,62,,3.0,B,Missing/Undefined,18.01667,-66.451408,PR,3/25/2005,,Mar,,,,2/23/2005,2005,Feb,785265,61419.572,494,1945,2018,12,0.1,File Not Found,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0155103011266479
63,63,,5.0,B,Equipment Use,29.52,-83.26,FL,9/8/1995,,Sep,,,,8/9/1995,1995,Aug,722120,19556.14581,12833,1973,2005,12,0.1,722120-12833-1995.gz,26.71389728,26.15465587,25.064859,25.26454635,2.080916415,2.663259109,2.329501085,1.824802761,80.72540768,80.42449842,78.33640553,81.91463415,0.0,0.0,0.0,0.0,0.1491170204553289
64,64,SPRING GULCH,1.5,B,Lightning,39.205,-105.18833329999998,CO,7/31/1996,8/1/1996,Jul,7/31/1996 11:45,8/1/1996 14:00,1 days 00:00:00.000000000,7/1/1996,1996,Jul,999999,15618.84582,53007,1971,2019,0,0.1,999999-54767-1996.gz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.347202748581888
65,65,DALLAS LOOP,1.0,B,Debris Burning,32.80707917,-94.57469159,TX,1/16/2009,,Jan,,,,12/17/2008,2008,Dec,722112,37068.71138,53982,2005,2020,12,0.1,722112-53982-2008.gz,10.30368969,0.0,0.0,0.0,2.381740776,0.0,0.0,0.0,65.26835138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2499716321125233
66,66,,2.0,B,Debris Burning,47.342389,-92.822977,MN,4/26/1997,,Apr,,,,3/27/1997,1997,Mar,727458,53995.04125,94919,1973,2020,15,0.1,727458-99999-1997.gz,2.617524339,4.3,7.291666667,7.503516174,2.9963838660000004,2.578333333,2.0005952380000003,3.5852320680000003,55.07788595,49.46388889,48.18452381,56.05485232,0.0,0.0,0.0,0.0,0.2271845877660905
67,67,FATHER'S DAY FIRE,1.0,B,Smoking,30.23458,-88.66805,MS,6/22/2009,,Jun,6/22/2009 3:30,,,5/23/2009,2009,May,998201,16069.17949,99999,2008,2020,12,0.1,File Not Found,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1973822733227423
68,68,,19.3,C,Debris Burning,31.2408,-81.5575,GA,3/16/1999,,Mar,,,,2/14/1999,1999,Feb,722090,71212.31941,99999,1945,2020,12,1.0,722090-99999-1999.gz,12.50716332,12.78894472,12.48039216,19.88528678,3.890544413,4.315577889,3.783333333,3.755361596,53.97468354,49.94382022,62.05952381,54.91091954,30.4,21.3,17.0,8.7,0.1326027431795333
69,69,,10.5,C,Arson,32.0503,-85.5731,AL,3/29/1998,,Mar,,,,2/27/1998,1998,Feb,999999,49630.18474,23801,1965,2019,12,1.0,999999-53908-1998.gz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167931165795188
